country,survey_name,wave,idno,feasibility_score,metadata_has_budget,metadata_has_oop,metadata_has_weight,metadata_has_timing,metadata_has_geography,metadata_has_financial_core,metadata_has_access_core,metadata_has_main_sample_core,raw_file_inspected,raw_variable_verified,harmonization_value_audit_ready,eligible_for_final_sample,eligible_for_access_secondary_sample,status,gap
Nigeria,Service Delivery Indicators Education Survey 2013 - Harmonized Public Use Data,2013-2014,NGA_2013_SDI-E_v01_M_v02_A_PUF,3,0,1,1,1,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Demographic and Health Survey 2003,2003,NGA_2003_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Demographic and Health Survey 2000-2001,2000-2001,UGA_2000_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête Démographique et de Santé 2001,2001,MLI_2001_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,"Evaluation de l’Impact des Cantines Scolaires et des Rations Alimentaires à Emporter dans la Region du Sahel 2007, Enquête de Suivi",2007,BFA_2007_SNPSIE-EL_v01_M,2,1,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Demographic and Health Survey 1991-92 - IPUMS Subset,1991-1992,TZA_1991_DHS_v01_M_v02_A_IPUMS,2,0,0,1,1,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Demographic and Health Survey 1992 - IPUMS Subset,1992,MWI_1992_DHS_v01_M_v02_A_IPUMS,2,0,0,1,1,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Service Delivery Indicators Education Survey 2014 - Harmonized Public Use Data,2014,TZA_2014_SDI-E_v01_M_v02_A_PUF,2,0,1,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Service Delivery Indicators Education Survey 2013 - Harmonized Public Use Data,2013,UGA_2013_SDI-E_v01_M_v02_A_PUF,2,0,1,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Demographic and Health Survey 2000,2000,ETH_2000_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Impact evaluation of the Improvement of Land Governance in Uganda to Increase Productivity of Small-Scale Farmers on Mailo-Land 2023,2023,UGA_2023_ILGUIE-EL_v01_M,2,0,1,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,The Impact and Sustainability of Community-Led Total Sanitation and Hygiene (CLTSH) 2017-2019,2017-2019,ETH_2017-2019_ISCLTSH-IE_v01_M,3,0,1,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Demographic and Health Survey 2011,2010-2011,ETH_2010_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Demographic and Health Survey 2000,2000,MWI_2000_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"CGAP Smallholder Household Survey 2016, Building the Evidence Base on the Agricultural and Financial Lives of Smallholder Households",2016,NGA_2016_SHS_v01_M,2,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Resilience Index Measurement and Analysis 2020,2020,UGA_2020_RIMA_v01_M_v01_A_OCS,3,0,1,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Multiple Indicator Cluster Survey 2019-2020,2019-2020,MWI_2019_MICS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,"Schooling, Income, and Health Risk Impact Evaluation Household Survey 2012, Round 4",2012,MWI_2012_SIHRIE-R4_v02_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,"Livelihoods, Basic Services, Social Protection and Perceptions of the State in Conflict-affected Situations Household Survey 2013, First Round",2013,UGA_2013_SLRC_v01_M,3,0,0,0,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,"Protecting Early Childhood Development Impact Evaluation 2014-2015, Endline Survey",2014-2015,MWI_2014_PECDIE-EL_v01_M,3,0,0,0,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Demographic and Health Survey 1995,1995,UGA_1995_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,Enterprise Survey 2006,2006,BFA_2006_ES_v01_M_WB,2,0,0,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Reproductive and Child Health Survey 1999,1999,TZA_1999_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,"Skills Profile Survey 2017, A Refugee and Host Community Survey",2017,ETH_2017_SPS_v01_M,1,0,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"CGAP Smallholder Household Survey 2016, Building the Evidence Base on the Agricultural and Financial Lives of Smallholder Households",2016,TZA_2016_SHS_v01_M,2,0,1,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Niger,Enquête Démographique et de Santé 1998,1998,NER_1998_DHS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"Teacher Development Programme In-Service Training Component Impact Evaluation 2014, Baseline Survey",2014-2015,NGA_2014_TDPITCIE-BL_v01_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,Enquête Démographique et de Santé 1998-1999,1998-1999,BFA_1998_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Youth Enterprise With Innovation in Nigeria (YouWiN!) Program Impact Evaluation 2011-2016,2011-2016,NGA_2011-2016_YouWiNIE_v02_M,5,1,1,0,1,1,1,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,weight_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Electricity Transmission and Distribution Systems Rehabilitation & Extension 2011,2011,TZA_2011_MCC-ETDSRE_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Demographic and Health Survey 1996,1996,TZA_1996_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Mini Demographic and Health Survey 2019,2019,ETH_2019_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Project Jigifa Endline Survey 2016,2016,MLI_2016_PJ-EL_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,"CGAP Smallholder Household Survey 2015, Building the Evidence Base on the Agricultural and Financial Lives of Smallholder Households",2015,UGA_2015_SHS_v02_M,2,0,1,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,"Women Agribusiness Leaders Network Impact Evaluation 2014, Baseline Data",2014,ETH_2014_WALN-BL_v01_M,2,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Socio-Economic Survey of Refugees in Ethiopia (SESRE) 2023,2022-2023,ETH_2022_SESRE_v02_M,4,0,1,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,"Farmer Innovation Fund Impact Evaluation 2010, Baseline Survey",2010,ETH_2010_FIFIE-BL_v01_M,3,1,1,0,0,1,1,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Resilience Index Measurement and Analysis 2021,2021-2022,UGA_2021_RIMA_v01_M_v01_A_OCS,2,0,0,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Harmonized Host and Refugee Labor Market Survey 2022,2022,UGA_2022_HHR-LMS_v01_M,1,0,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête Démographique et de Santé 1995-1996,1995-1996,MLI_1995_DHS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Quality Improvement and Clinical Governance Initiative - Piloting Quality Improvement Packages in Primary Care Centers Impact Evaluation 2014-2016,2014-2016,NGA_2014_QICGI_v01_M,3,0,1,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Resilience Index Measurement and Analysis 2018,2018,UGA_2018_RIMA_v01_M_v01_A_OCS,4,0,1,0,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Demographic and Health Survey 1991-1992,1991-1992,TZA_1991_DHS_v01_M,2,0,0,1,1,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,"Protecting Early Childhood Development in Malawi Impact Evaluation Survey 2011-2012, Baseline",2011-2012,MWI_2011_PECD_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Survey for Adolescent Development Programme - 2009-2011,2009-2011,TZA_2011_ELAIE_v01_M,2,0,0,0,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,HIV/AIDS and Malaria Indicator Survey 2007-2008,2007-2008,TZA_2007_AIS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Land Titling Impact Evaluation - Baseline Survey 2015,2015,UGA_2015_LTIE-BL_v01_M,2,0,1,0,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,"Protecting Early Childhood Development in Malawi Impact Evaluation Survey 2013, Midline",2013,MWI_2013_PECDIE-ML_v01_M,2,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,"Orange Fleshed Sweet Potatoes 2014, Baseline Survey",2014,UGA_2014_OFSP-BL_v01_M,4,1,1,1,1,1,1,1,1,0,0,0,0,0,metadata_main_sample_candidate_not_selectable,raw_microdata_not_inspected
Niger,Service Delivery Indicators Health Survey 2015 - Harmonized Public Use Data,2015,NER_2015_SDI-H_v01_M_v02_A_PUF,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Multiple Indicator Cluster Survey 2016-2017,2016-2017,NGA_2016_MICS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"Impact Evaluation of Scaling-up Handwashing and Rural Sanitation Behavior Projects in Tanzania 2012, Endline Survey",2012,TZA_2012_SHRSBIE-EL_v01_M_v01_A_PUF,2,0,0,1,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Resilience Index Measurement and Analysis 2018,2018,NGA_2018_RIMA_v01_M_v01_A_OCS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Demographic and Health Survey 1987 - IPUMS Subset,1987,MLI_1987_DHS_v01_M_v02_A_IPUMS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête sur le Suivi des Dépenses dans le Secteur de l’Education jusqu’à Destination 2005,2005,MLI_2005_PETSE_v01_M,2,0,1,0,0,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Niger,Multi-Tier Framework for Measuring Energy Access 2018,2018,NER_2018_MTF_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête sur les Indicateurs du Paludisme 2015,2015,MLI_2015_MIS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Annual Agricultural Survey 2019,2019-2020,UGA_2019_AAS_v01_M_v01_A_ESS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Demographic and Health Survey 1992,1992,MWI_1992_DHS_v01_M,2,0,0,1,1,1,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,National Agricultural Sample Survey 2023,2022,NGA_2023_NASS_v01_M_v01_A_ESS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,"Adolescent Girls Initiative for Learning and Empowerment: Impact Evaluation of a Safe Space-Based Life Skills Training and Digital Literacy Training in Rural Nigeria, 2023",2023,NGA_2023_AGILE-IE_v01_M,2,0,0,0,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Profile of Internally Displaced Persons in North-East Nigeria 2018,2018,NGA_2018_IDP_v01_M,3,1,1,0,0,1,1,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,Malaria Indicator Survey 2015,2015,NGA_2015_MIS_v01_M,3,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,"Health Results-Based Financing Impact Evaluation 2013, Household Baseline Survey",2013-2014,BFA_2013_HRBFIE-HBL_v01_M,2,0,0,1,0,1,0,1,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;timing_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Negotiating Reproductive Outcomes Survey 1995-1996,1995-1996,UGA_1995_IDHS_v01_M,2,0,0,1,1,1,0,1,0,0,0,0,0,0,metadata_secondary_access_candidate_not_selectable,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,ACCESS IT Training Program Impact Evaluation 2011-2014,2011-2014,NGA_2011-2014_ACCESSIE_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Malaria Indicator Survey 2012,2012,MWI_2012_MIS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,"Disaster Poverty Household Survey 2017-2018, Dar es Salaam",2017-2018,TZA_2017-2018_DPHS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Malaria Indicator Survey 2014,2014,MWI_2014_MIS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête par Grappes à Indicateurs Multiples 2015,2015,MLI_2015_MICS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Tanzania,Survey of Household Welfare and Labour 2007-2008,2007-2008,TZA_2007_SHWALITA_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Mali,Enquête sur les Indicateurs du Paludisme 2021,2021,MLI_2021_MIS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,AIDS Indicator Survey 2011,2011,UGA_2011_AIS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,Enterprise Survey 2005,2005,MWI_2005_ES_v01_M_WB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Burkina Faso,Enquête Démographique et de Santé 1993,1992-1993,BFA_1992_DHS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Demographic and Health Survey 1988-1989 - IPUMS Subset,1988-1989,UGA_1988_DHS_v01_M_v02_A_IPUMS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Malawi,MDG Endline Survey 2013-2014,2013-2014,MWI_2013_MES_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Uganda,Malaria Indicator Survey 2014-2015,2014-2015,UGA_2014_MIS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Niger,Enquête Démographique et de Santé 1992,1992,NER_1992_DHS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Ethiopia,Addis Ababa Industrial Survey 1993,1993,ETH_1993_AAIS_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
Nigeria,National Social Safety Nets Project Livelihood Pilot Baseline Survey 2019,2019,NGA_2019_NASSPIE-BL_v01_M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,excluded_or_low_priority_until_raw_evidence,budget_missing_or_metadata_weak;oop_missing_or_metadata_weak;weight_missing_or_metadata_weak;timing_missing_or_metadata_weak;geography_missing_or_metadata_weak;access_core_missing_or_metadata_weak;raw_microdata_not_inspected
