horizon_years,weight_variable,SSUID,PNUM,SPANEL,file_year,reference_year,observed_month_count,observed_months,missing_month_count,missing_months,handling
4,FINYR4,66702335988722,103,2022,2022,2021,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
4,FINYR4,66741805794422,105,2022,2022,2021,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
4,FINYR4,66741811475722,107,2022,2022,2021,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
4,FINYR4,66741875573722,104,2022,2022,2021,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
4,FINYR4,66786004393522,104,2022,2022,2021,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
4,FINYR4,66786062597922,105,2022,2022,2021,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
4,FINYR4,68522805716122,105,2022,2022,2021,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
4,FINYR4,68535909856522,104,2022,2022,2021,4,9|10|11|12,8,1|2|3|4|5|6|7|8,preserved_official_rows_no_imputation
4,FINYR4,68555260968822,103,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,68568860616122,106,2022,2022,2021,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
4,FINYR4,83711481606722,105,2022,2022,2021,9,4|5|6|7|8|9|10|11|12,3,1|2|3,preserved_official_rows_no_imputation
4,FINYR4,88141868838322,105,2022,2022,2021,1,12,11,1|2|3|4|5|6|7|8|9|10|11,preserved_official_rows_no_imputation
4,FINYR4,88155207334822,107,2022,2022,2021,7,6|7|8|9|10|11|12,5,1|2|3|4|5,preserved_official_rows_no_imputation
4,FINYR4,88181638200322,103,2022,2022,2021,3,10|11|12,9,1|2|3|4|5|6|7|8|9,preserved_official_rows_no_imputation
4,FINYR4,88181675525122,103,2022,2022,2021,6,7|8|9|10|11|12,6,1|2|3|4|5|6,preserved_official_rows_no_imputation
4,FINYR4,88186081030122,103,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,88192550138322,103,2022,2022,2021,10,3|4|5|6|7|8|9|10|11|12,2,1|2,preserved_official_rows_no_imputation
4,FINYR4,88192550176222,104,2022,2022,2021,5,8|9|10|11|12,7,1|2|3|4|5|6|7,preserved_official_rows_no_imputation
